name,translation
جلو بازوئ یک دست ایستا,جلو بازوئ یک دست ایستا
جلوبازو با هالتر,جلوبازو با هالتر
پشت با زو  خوابیده همراه با پولاور با دمبل,پشت با زو  خوابیده همراه با پولاور با دمبل
پشت بازو ایستا خوابیده به پشت_01 ,پشت بازو ایستا خوابیده به پشت_01 
پشت بازو با دمبل خوابیده به پشت متناوب,پشت بازو با دمبل خوابیده به پشت متناوب
پشت بازو با دمبل خوابیده به پشت,پشت بازو با دمبل خوابیده به پشت
پشت بازو با دمبل خوابیده نیمکت مکث چندگانه,پشت بازو با دمبل خوابیده نیمکت مکث چندگانه
پشت بازو با هالتر لاری خوابیده به پشت میز شیب دار بالا,پشت بازو با هالتر لاری خوابیده به پشت میز شیب دار بالا
پشت بازو با هالتر لاری خوابیده به پشت,پشت بازو با هالتر لاری خوابیده به پشت
پشت بازو سیمکش کف دست به جلو,پشت بازو سیمکش کف دست به جلو
پشت بازو همراه پایین کشیدن سیم کش,پشت بازو همراه پایین کشیدن سیم کش
پشت ساعد هالتر باز کردن مچ,پشت ساعد هالتر باز کردن مچ
اسکپشن و بالا انداختن شانه,اسکپشن و بالا انداختن شانه
اسکپشن,اسکپشن
شراگ با دمبل بالای سر,شراگ با دمبل بالای سر
شراگ با دمبل,شراگ با دمبل
شراگ دندانه ای,شراگ دندانه ای
صلیب متناوب دستن ثابت,صلیب متناوب دستن ثابت
نشر از جلو با دمبل,نشر از جلو با دمبل
نشر از جلو با وزنه,نشر از جلو با وزنه
نشر از جلو بغل,نشر از جلو بغل
نشر بغل خوابیده به پهلو,نشر بغل خوابیده به پهلو
نشر مورب بادمبل,نشر مورب بادمبل
نشربغل ترکیبی,نشربغل ترکیبی
پرس سرشانه با دمبل,پرس سرشانه با دمبل
پرس سرشانه دمبل نشسته,پرس سرشانه دمبل نشسته
بالا کشیدن را  تک پا روی توپ مدیسینبال,بالا کشیدن را  تک پا روی توپ مدیسینبال
بالا کشیدن را  تک پا روی فوم لوله شده,بالا کشیدن را  تک پا روی فوم لوله شده
بالا کشیدن ران به شکل رژه روندگان,بالا کشیدن ران به شکل رژه روندگان
بالا کشیدن ران تک پا نگه داشتن زانو,بالا کشیدن ران تک پا نگه داشتن زانو
بالا کشیدن ران تک پا,بالا کشیدن ران تک پا
بالا کشیدن ران زانوی خم معکوس,بالا کشیدن ران زانوی خم معکوس
بالا کشیدن ران معکوس,بالا کشیدن ران معکوس
بالا کشیدن ران ها با وزنه,بالا کشیدن ران ها با وزنه
دور کردن ران با باند,دور کردن ران با باند
پشت ران تک پا سر خردن,پشت ران تک پا سر خردن
پشت ران سر خردن,پشت ران سر خردن
کلامشل,کلامشل
دمبل فلای روی میز شیبدار بالا,دمبل فلای روی میز شیبدار بالا
دمبل فلای روی میز شیبدار پایین,دمبل فلای روی میز شیبدار پایین
دمبل فلای,دمبل فلای
شنا با دستان باز,شنا با دستان باز
شنا با دستان جمع یا نزدیک به هم,شنا با دستان جمع یا نزدیک به هم
شنا با عقب و جلو گذاشتن دست ها,شنا با عقب و جلو گذاشتن دست ها
شنای تعدیل شده,شنای تعدیل شده
شنای روی زمین,شنای روی زمین
شنای صعودی,شنای صعودی
پرس سینه با دستان حنثی به صورت متناوب,پرس سینه با دستان حنثی به صورت متناوب
پرس سینه با دمبل بدون چرخش دست ها,پرس سینه با دمبل بدون چرخش دست ها
پرس سینه با دمبل به صورت متناوب,پرس سینه با دمبل به صورت متناوب
پرس سینه با دمبل تک دست,پرس سینه با دمبل تک دست
پرس سینه با دمبل روی زمین,پرس سینه با دمبل روی زمین
پرس سینه با دمبل,پرس سینه با دمبل
بارفیکس خوابیده پاروی معکوس کف دست ها رو به صورت,بارفیکس خوابیده پاروی معکوس کف دست ها رو به صورت
بارفیکس خوابیده پارویی معکوس تعدیل شده,بارفیکس خوابیده پارویی معکوس تعدیل شده
بارفیکس خوابیده پارویی معکوس حمل وزنه,بارفیکس خوابیده پارویی معکوس حمل وزنه
بارفیکس خوابیده کف دست ها یه جلو,بارفیکس خوابیده کف دست ها یه جلو
بارفیکس کف دست هارو به صورت با کمک طناب,بارفیکس کف دست هارو به صورت با کمک طناب
تمرین لت,تمرین لت
لت  با دستان باز,لت  با دستان باز
لت 30 درجه,لت 30 درجه
لت با دستان نزدیک به هم,لت با دستان نزدیک به هم
لت زانو زده کف دست ها رو به صورت,لت زانو زده کف دست ها رو به صورت
لت زانوزده,لت زانوزده
لت کف دست ها به جلو,لت کف دست ها به جلو
نشر t روی زمین,نشر t روی زمین
نشر y  روی زمین,نشر y  روی زمین
نشر خم به همراه کف دستان رو به جلو چرخش خارجی دستان,نشر خم به همراه کف دستان رو به جلو چرخش خارجی دستان
نشر خم,نشر خم
نشرخم با دمبل خوابیده,نشرخم با دمبل خوابیده
نشرخم با چرخش داخلی دستان,نشرخم با چرخش داخلی دستان
نشرخم نشسته,نشرخم نشسته
نشرخک با سیم کش کراس,نشرخک با سیم کش کراس
پارویی با دمبل روی نیمکت شیب دار بالا,پارویی با دمبل روی نیمکت شیب دار بالا
پارویی با دمبل,پارویی با دمبل
پارویی با سیم کش دست باز,پارویی با سیم کش دست باز
پارویی با سیم کش همراه با چرخش خارجی دست ها,پارویی با سیم کش همراه با چرخش خارجی دست ها
پارویی با سیم کش کف دستان رو به هم,پارویی با سیم کش کف دستان رو به هم
پارویی با سیم کش,پارویی با سیم کش
پارویی باسیم کش دستگیره طنابی,پارویی باسیم کش دستگیره طنابی
پارویی تک دست ایستاده با حمایت دست دیگر چرخش داخلی دست,پارویی تک دست ایستاده با حمایت دست دیگر چرخش داخلی دست
پارویی تک دست بازانو زدن بک پا روی میز,پارویی تک دست بازانو زدن بک پا روی میز
پولاور باهالتر لاری,پولاور باهالتر لاری
اسکات با وزن بدن تکیه به توپ سوییسی,اسکات با وزن بدن تکیه به توپ سوییسی
اسکات با وزن بدن تکیه به دیوار,اسکات با وزن بدن تکیه به دیوار
اسکات با وزن بدن,اسکات با وزن بدن
اسکات زندانیان,اسکات زندانیان
اسکات سامو با دمبل از جلو,اسکات سامو با دمبل از جلو
اسکات سامو,اسکات سامو
اسکات پرش انفجاری با وزن بدن,اسکات پرش انفجاری با وزن بدن
اسکات پرش با وزن بدن,اسکات پرش با وزن بدن
قدم ردن به سبک ورزشکاران روی اتنگشتان,قدم ردن به سبک ورزشکاران روی اتنگشتان
لانچ با دمبل,لانچ با دمبل
لانچ باهالتر,لانچ باهالتر
لانچ به طرفین دمبل,لانچ به طرفین دمبل
نزدیک کردن ران با سیم کش ایستاده,نزدیک کردن ران با سیم کش ایستاده
نزدیک کردن ران با ولساید,نزدیک کردن ران با ولساید
پشت ساق پا با دمبل ایستاده,پشت ساق پا با دمبل ایستاده
پشت ساق پا با دمبل تک پا خم به جلو,پشت ساق پا با دمبل تک پا خم به جلو
پشت ساق پا با دمبل تک پا خم زانو,پشت ساق پا با دمبل تک پا خم زانو
تبدیل حرکت پشت بازو خوابیده به پشت به پرس سینه دست جمع,تبدیل حرکت پشت بازو خوابیده به پشت به پرس سینه دست جمع
جلو بازو با  هالتر لاری دست باز,جلو بازو با  هالتر لاری دست باز
جلو بازو با دمبل ایستاده یک پا,جلو بازو با دمبل ایستاده یک پا
جلو بازو با سیم کش چکشی,جلو بازو با سیم کش چکشی
جلو بازو با هالتر همراه مکص چندگانه,جلو بازو با هالتر همراه مکص چندگانه
جلو بازو چند مرحله,جلو بازو چند مرحله
جلو بازو چکشی همراه پرس تک پا روی نیمکت,جلو بازو چکشی همراه پرس تک پا روی نیمکت
جلو بازو چکشی همراه پرس سرشانه,جلو بازو چکشی همراه پرس سرشانه
جلو ساعد هالتر,جلو ساعد هالتر
جلوبازو با هالتر دست باز,جلوبازو با هالتر دست باز
جلوبازو با هالتر لاری دست جمع,جلوبازو با هالتر لاری دست جمع
حرکت جلوبازو زوتمن ایستاده,حرکت جلوبازو زوتمن ایستاده
نگه داشتن دمبل های شش گئشه,نگه داشتن دمبل های شش گئشه
پشت بازو با دمبل خوابیده به پشت توپ سویییسی,پشت بازو با دمبل خوابیده به پشت توپ سویییسی
پشت بازو با هالتر نشسته بالای سر,پشت بازو با هالتر نشسته بالای سر
پشت بازو دمبل بالای سر نشسته,پشت بازو دمبل بالای سر نشسته
پشت بازو دمبل بالای سر,پشت بازو دمبل بالای سر
پشت بازو سیم کش طناب تک دست,پشت بازو سیم کش طناب تک دست
پشت بازو سیمکش طناب,پشت بازو سیمکش طناب
شراگ با هالتر,شراگ با هالتر
شراگ دست باز,شراگ دست باز
شراگ سراتوس,شراگ سراتوس
صلیب با دستان خک و چرخش خارجی,صلیب با دستان خک و چرخش خارجی
صلیب متمایل,صلیب متمایل
نشر جلو سیم کش,نشر جلو سیم کش
نشر مورب با سیمکش,نشر مورب با سیمکش
پرس سر شانه با دمبل همراه فشار پاها,پرس سر شانه با دمبل همراه فشار پاها
پرس سر شانه با هالتر,پرس سر شانه با هالتر
پرس سرشانه با دمبل توپ سوییسی متناوب,پرس سرشانه با دمبل توپ سوییسی متناوب
پرس سرشانه با دمبل تک دست,پرس سرشانه با دمبل تک دست
پرس سرشانه با مبل به صورت متناوبب,پرس سرشانه با مبل به صورت متناوبب
پرس سرشانه دمبل توپ سوییسی,پرس سرشانه دمبل توپ سوییسی
پرس سرشانه نشسته,پرس سرشانه نشسته
پرس سرشانه یا دمبل  متناوب همراه با چرخش,پرس سرشانه یا دمبل  متناوب همراه با چرخش
چرخش خارجی بازو با دمبل نشسته,چرخش خارجی بازو با دمبل نشسته
چرخش خارجی بازو با سیم کش در وضعیت نود درجه,چرخش خارجی بازو با سیم کش در وضعیت نود درجه
چرخش خارجی بازو با سیم کش در وضعیت چهل و پنج درجه,چرخش خارجی بازو با سیم کش در وضعیت چهل و پنج درجه
چرخش خارجی بازو با سیم کش,چرخش خارجی بازو با سیم کش
چرخش خارجی بازو به صورت خوابیده,چرخش خارجی بازو به صورت خوابیده
باز کردن تنه به سمت عقب تک پا,باز کردن تنه به سمت عقب تک پا
باز کردن تنه به سمت عقب,باز کردن تنه به سمت عقب
بالا کشیدن را  تک پا روی میز,بالا کشیدن را  تک پا روی میز
بالا کشیدن ران توپ سوییسی  معکوس,بالا کشیدن ران توپ سوییسی  معکوس
بالا کشیدن ران توپ پاها روی توپ یوییسی,بالا کشیدن ران توپ پاها روی توپ یوییسی
بالا کشیدن ران تک پا روی توپ سوییسی  و حرکت پشت ران,بالا کشیدن ران تک پا روی توپ سوییسی  و حرکت پشت ران
بالا کشیدن ران تک پا سر روی توپ سوییسی,بالا کشیدن ران تک پا سر روی توپ سوییسی
بالا کشیدن ران تک پا سر روی فاوپ بوسو,بالا کشیدن ران تک پا سر روی فاوپ بوسو
بالا کشیدن ران تک پا قرار دادن پا روی تخته,بالا کشیدن ران تک پا قرار دادن پا روی تخته
بالا کشیدن ران تک پا قرار دادن پا روی نوپ بوسو,بالا کشیدن ران تک پا قرار دادن پا روی نوپ بوسو
بالا کشیدن ران روی توپ سوییسی  و حرکت پشت ران,بالا کشیدن ران روی توپ سوییسی  و حرکت پشت ران
بالا کشیدن ران زانوی خم توپ سوییسی معکوس,بالا کشیدن ران زانوی خم توپ سوییسی معکوس
بالا کشیدن ران ها همراه فشار دادن زانو ها به خارج,بالا کشیدن ران ها همراه فشار دادن زانو ها به خارج
بالا کشیدن ران همراه با فشار زانو,بالا کشیدن ران همراه با فشار زانو
بالا کشیدن ران و لگن  سر روی توپ سوییسی,بالا کشیدن ران و لگن  سر روی توپ سوییسی
بالا کشیدن ران و لگن سر روی فاوپ بوسو,بالا کشیدن ران و لگن سر روی فاوپ بوسو
بالا کشیدن ران,بالا کشیدن ران
تاب دادن دمبل به صورت تک دست بین پاها,تاب دادن دمبل به صورت تک دست بین پاها
دور مردن ران با سیمکش ایستاده مقاومت باند,دور مردن ران با سیمکش ایستاده مقاومت باند
دور مردن ران با سیمکش ایستاده,دور مردن ران با سیمکش ایستاده
قدم زدن به پهلو با باند,قدم زدن به پهلو با باند
لیفت مرده با دمبل تک دست,لیفت مرده با دمبل تک دست
لیفت مرده با دمبل,لیفت مرده با دمبل
لیفت مرده پا صاف دمبل,لیفت مرده پا صاف دمبل
پله با دمبل از صلیبی,پله با دمبل از صلیبی
پله با دمبل از پهلو,پله با دمبل از پهلو
پله با دمبل,پله با دمبل
دمبل فلای توپ سوییسی,دمبل فلای توپ سوییسی
شنا با توپ بوسو,شنا با توپ بوسو
شنا با حمل وزنه,شنا با حمل وزنه
شنا با دستان لوزی شکل (سه سر),شنا با دستان لوزی شکل (سه سر)
شنا با سه توقف,شنا با سه توقف
شنا با قرار دادن پاها پشت یکدیگر,شنا با قرار دادن پاها پشت یکدیگر
شنا به سبک جودوکاران,شنا به سبک جودوکاران
شنا به صورت T,شنا به صورت T
شنا به همرا حرکت پارویی با دمبل,شنا به همرا حرکت پارویی با دمبل
شنای دو دوست روی مدیسینبال,شنای دو دوست روی مدیسینبال
شنای معلق,شنای معلق
شنای نزولی,شنای نزولی
فلای با سیم کش ایستاده,فلای با سیم کش ایستاده
پاس سینه با توپ طبی,پاس سینه با توپ طبی
پرس بالای سینه روی میز شیب دار,پرس بالای سینه روی میز شیب دار
پرس سینه با دستان معکوس,پرس سینه با دستان معکوس
پرس سینه با دمبل روی توپ سوییسی متناوب,پرس سینه با دمبل روی توپ سوییسی متناوب
پرس سینه با دمبل روی توپ سوییسی,پرس سینه با دمبل روی توپ سوییسی
پرس سینه با دمبل روی میز شیبدار با دستان بدون چرخش,پرس سینه با دمبل روی میز شیبدار با دستان بدون چرخش
پرس سینه با دمبل روی میز شیبدار به پایین,پرس سینه با دمبل روی میز شیبدار به پایین
پرس سینه با دمبل روی نیمکت شییب دار,پرس سینه با دمبل روی نیمکت شییب دار
پرس سینه با دمبل متناوب,پرس سینه با دمبل متناوب
پرس سینه با هالتر با دستان جمع,پرس سینه با هالتر با دستان جمع
پرس سینه با هالتر به همراه مکث های سه مرحله ای,پرس سینه با هالتر به همراه مکث های سه مرحله ای
پرس سینه با هالتر روی زمین,پرس سینه با هالتر روی زمین
پرس سینه تک دست با سیم کش,پرس سینه تک دست با سیم کش
پرس سینه همراه با هالتر با حوله,پرس سینه همراه با هالتر با حوله
پرس سینه,پرس سینه
پرس پایین سینه روی میز شیب دار,پرس پایین سینه روی میز شیب دار
بارفیکس با چرخش داخلی یک دست و چرخش خارجی دست دیگر,بارفیکس با چرخش داخلی یک دست و چرخش خارجی دست دیگر
بارفیکس خوابیده پارویی معکوس آویزان,بارفیکس خوابیده پارویی معکوس آویزان
بارفیکس خوابیده پارویی معکوس با حوله,بارفیکس خوابیده پارویی معکوس با حوله
بارفیکس دست باز کف دست ها رو به جلو,بارفیکس دست باز کف دست ها رو به جلو
بارفیکس دست جمع,بارفیکس دست جمع
بارفیکس کف دست ها رو به جلو,بارفیکس کف دست ها رو به جلو
بارفیکس کف دست ها رو به صورت,بارفیکس کف دست ها رو به صورت
فیس چول با دمبل به همراه چرخش خارجی,فیس چول با دمبل به همراه چرخش خارجی
نزدیک کردن کتف ها به هم,نزدیک کردن کتف ها به هم
نشر i  روی زمین,نشر i  روی زمین
نشر i روی میز شیبدار,نشر i روی میز شیبدار
نشر L روی میز شیب دار,نشر L روی میز شیب دار
نشر w روی میز شیب دار,نشر w روی میز شیب دار
نشر y روی نیمکت شیب دار,نشر y روی نیمکت شیب دار
نشر روی میزT,نشر روی میزT
پارویی با دمبل تک دست بدون چرخش دست,پارویی با دمبل تک دست بدون چرخش دست
پارویی با دمبل متناوب,پارویی با دمبل متناوب
پارویی با سیم کش تک دست ایستاده,پارویی با سیم کش تک دست ایستاده
پارویی با سیم کش تک دست و چرخش,پارویی با سیم کش تک دست و چرخش
پارویی با سیم کش تک دست,پارویی با سیم کش تک دست
پارویی با هالتر,پارویی با هالتر
پارویی تک دست با چرخش دست,پارویی تک دست با چرخش دست
پارویی تک دست بدون چرخش دست ها همراه ا چرخش تنه,پارویی تک دست بدون چرخش دست ها همراه ا چرخش تنه
پارویی تک دست و پا کف دست به جلو,پارویی تک دست و پا کف دست به جلو
پارویی سیکگش به سمت گردن با چرخش خارجی,پارویی سیکگش به سمت گردن با چرخش خارجی
پولاور ایستاده با سیم کش,پولاور ایستاده با سیم کش
کشیدن سیم کش به سمت صورت همراه ا چرخش خارجی,کشیدن سیم کش به سمت صورت همراه ا چرخش خارجی
اسکات با دمبل,اسکات با دمبل
اسکات با قرار گرفتن وزنه جلوی بدن,اسکات با قرار گرفتن وزنه جلوی بدن
اسکات با هالتر  از جلو با دستان صلبیبی,اسکات با هالتر  از جلو با دستان صلبیبی
اسکات با هالتر از جلو,اسکات با هالتر از جلو
اسکات با هالتر روی دنجه پاها,اسکات با هالتر روی دنجه پاها
اسکات با هالتر همراه پاشنه بالا کشیده شده,اسکات با هالتر همراه پاشنه بالا کشیده شده
اسکات با هالتر پا باز,اسکات با هالتر پا باز
اسکات با هالتر,اسکات با هالتر
اسکات با وزن بدن همراه فشار خارجی زانو ها,اسکات با وزن بدن همراه فشار خارجی زانو ها
اسکات تک پا روی جعبه,اسکات تک پا روی جعبه
اسکات جام شکل پا باز,اسکات جام شکل پا باز
اسکات جام شکل,اسکات جام شکل
اسکات جهشی با دمبل,اسکات جهشی با دمبل
اسکات دمبل بالای سر,اسکات دمبل بالای سر
اسکات دو بخشی با التر بالا گذاشتن پای جلویی,اسکات دو بخشی با التر بالا گذاشتن پای جلویی
اسکات دو بخشی با التر بالا گذاشتن پای عقبی,اسکات دو بخشی با التر بالا گذاشتن پای عقبی
اسکات دو بخشی با دمبل بالا گذاشتن پای جلویی,اسکات دو بخشی با دمبل بالا گذاشتن پای جلویی
اسکات دو بخشی با دمبل بالا گذاشتن پای عقبی,اسکات دو بخشی با دمبل بالا گذاشتن پای عقبی
اسکات دو بخشی با دمبل,اسکات دو بخشی با دمبل
اسکات دو بخشی با نگه داشتن دمبل بالای سر,اسکات دو بخشی با نگه داشتن دمبل بالای سر
اسکات دو بخشی با هالتر از جلو,اسکات دو بخشی با هالتر از جلو
اسکات دو بخشی با هالتر,اسکات دو بخشی با هالتر
اسکات دو بخشی,اسکات دو بخشی
اسکات چارکی با هالتر,اسکات چارکی با هالتر
اکات تک پا,اکات تک پا
بانچ با دمبل روی جعبه معکوس,بانچ با دمبل روی جعبه معکوس
بانچ به طرفین,بانچ به طرفین
بانچ دمبل به طرفین همراه تماس با زمین,بانچ دمبل به طرفین همراه تماس با زمین
بلند شدن از روی زمین تک پا,بلند شدن از روی زمین تک پا
قدم زدن با دمبل,قدم زدن با دمبل
لانج با دمبل بالای سر,لانج با دمبل بالای سر
لانچ با دمبل تک دست معکوس,لانچ با دمبل تک دست معکوس
لانچ با دمبل تک دست,لانچ با دمبل تک دست
لانچ با دمبل رو جعبه,لانچ با دمبل رو جعبه
لانچ با دمبل معکوس خم به جلو,لانچ با دمبل معکوس خم به جلو
لانچ با دمبل همراه چرخش1,لانچ با دمبل همراه چرخش1
لانچ با دمبل همراه چرخش,لانچ با دمبل همراه چرخش
لانچ با هالتر روی جعبه,لانچ با هالتر روی جعبه
لانچ با هالتر روی جغبه معکوس,لانچ با هالتر روی جغبه معکوس
لانچ صلیبی با دمبل,لانچ صلیبی با دمبل
لانچ صلیبی,لانچ صلیبی
لانچ متقاطع با دمبل,لانچ متقاطع با دمبل
پرش عمقی,پرش عمقی
پشت ساق هالتر ایستاده,پشت ساق هالتر ایستاده
گام زدن با هالتر,گام زدن با هالتر
ADDUCTOR STRETCH,کشش اداکتور
All Fours Quad Stretch, کشش چهارسر ران
Ankle Circles,چرخش مچ پا
Ankle On The Knee,مچ پا روی زانو
Arm Circles,چرخش بازو
Behind Head Chest Stretch,کشش قفسه سینه پشت سر
Calf Stretch Elbows Against Wall,کشش ساق پا آرنج در مقابل دیوار
Calf Stretch Hands Against Wall,کشش ساق پا دست ها در مقابل دیوار
Cat Stretch,کشش گربه
Chair Lower Back Stretch,کشش کمر صندلی
Chair Upper Body Stretch,کشش بالاتنه صندلی
Chest And Front Of Shoulder Stretch,کشش قفسه سینه و جلوی شانه
Child's Pose,ژست کودک
Chin To Chest Stretch,کشش چانه به سینه
Crossover Reverse Lunge,کراس اوور لانج معکوس
Dancer's Stretch,کشش رقصنده
Dynamic Back Stretch,کشش پویا پشت
Dynamic Chest Stretch,کشش پویا سینه
Elbow Circles,چرخش آرنج
Elbows Back,پشت آرنج
Frog Hops,نشستن قورباغه
Front Leg Raises,بالا بردن پاهای از جلو
Groin and Back Stretch,کشش کشاله ران و کمر
HAMSTRING STRETCH,کشش همسترینگ
Hamstring Stretch,کشش همسترینگ
Hip Circles (prone),چرخش هیپ(دمر)
Hip Circle,دچرخش هیپ
Hip Crossover,کراس اوور هیپ
HIP STRETCH,کشش باسن
HIP-TO-THIGH STRETCH,کشش باسن تا ران
Hug Knees To Chest,بغل زانوها به سینه
ILIOTIBIAL BAND STRETCH,کشش باند ایلیوتیبیال
Intermediate Groin Stretch,کشش میانی کشاله ران
Intermediate Hip Flexor and Quad Stretch,کشش خم کننده هیپ و چهار سر
Iron Crosses (stretch),صلیب های آهنی (کشش)
IT Band and Glute Stretch,کشش باند ایلیوتیبیال و باسن
Knee Across The Body,زانو در سراسر بدن
Knee Circles,چرخش زانو
Kneeling Forearm Stretch,کشش ساعد زانو زده
Kneeling Hip Flexor,خم کننده ران زانوزده
Leg-Up Hamstring Stretch,کشش همسترینگ پا به بالا
Looking At Ceiling,نگاه کردن به سقف
LUMBAR STRETCH,کشش کمر
Lying Bent Leg Groin,کشاله ران پا خمیده خوابیده
Middle Back Stretch,کشش وسط کمر
NECK FLEXION,خم شدن گردن
NECK SIDE BEND,خم شدن جانبی گردن
On Your Side Quad Stretch, کشش چهارسر ران روی پهلو
On-Your-Back Quad Stretch,کشش چهارسر ران روی پشت
One Arm Against Wall,یک دست در برابر دیوار
One Half Locust,یک نیمه ملخ
One Handed Hang,آویزان با یک دست
One Knee To Chest,یک زانو به سینه
Overhead Stretch,کشش بالای سر
PECTORAL STRETCH,کشش سینه ای
Peroneals Stretch,کشش پرونئال
PIRIFORMIS STRETCH,کشش پریفورمیس
Posterior Tibialis Stretch,کشش تیبیالیس خلفی
Quad Stretch,کشش چهارسر ران
QUADRICEPS STRETCH,کشش چهار سر ران
Rear Leg Raises,بالا بردن پاهای عقب
Round The World Shoulder Stretch,کشش دور جهان شانه
Seated Calf Stretch,کشش ساق پا نشسته
Seated Floor Hamstring Stretch,کشش همسترینگ کف نشسته
Seated Glute Stretch,کشش باسن نشسته
Seated Overhead Stretch,کشش بالای سر نشسته
Shoulder Circles,چرخش شانه
SHOULDER STRETCH,کشش شانه
Shoulder Stretch,کشش شانه
Side Leg Raises,بلند کردن پا
Side Lying Groin Stretch,کشش کشاله ران خوابیده به پهلو
Side Neck Stretch,کشش گردن به پهلو
Side Wrist Pull,کشش مچ کناری
Side-Lying Floor Stretch,کشش کف خوابیده
Sit Squats,اسکوات
Spinal Stretch,کشش ستون فقرات
SPINE STRETCH,کشش ستون فقرات
Standing Biceps Stretch,کشش عضله دوسر ایستاده
Standing Elevated Quad Stretch,کشش چهارسر ران ایستاده بلند شده
Standing Gastrocnemius Calf Stretch,گاستروکنمیوس ایستاده ساق پا
Standing Hamstring and Calf Stretch,کشش همسترینگ ایستاده و ساق پا
Standing Hip Circles,چرخش هیپ ایستاده
Standing Hip Flexors,خم کننده های هیپ ایستاده
Standing Lateral Stretch,کشش جانبی ایستاده
Standing Pelvic Tilt,تیلت لگن ایستاده
Standing Soleus And Achilles Stretch,کشش ایستاده  ساق و آشیل
Standing Toe Touches,لمس انگشت پا ایستاده
Stomach Vacuum,وکیوم شکم
The Straddle,استرادل
Tricep Side Stretch,کشش جانبی سه سر بازو
TRICEPS STRETCH,کشش سه سر بازو
Triceps Stretch,کشش عضلات سه سر بازو
Upper Back Stretch,کشش قسمت بالایی پشت
Upper Back-Leg Grab,چنگ زدن به پشت پا
Upward Stretch,کشش رو به بالا
Windmills,آسیاب های بادی
World's Greatest Stretch,کشش بزرگترین جهان
Wrist Circles,چرخش مچ دست
اسکات,اسکات
لیفت مرده پاصاف با هالتر به همراه پارویی,لیفت مرده پاصاف با هالتر به همراه پارویی
های پوی هالتر,های پوی هالتر
هنگ پول دمبل,هنگ پول دمبل
هنگ پول هالتر,هنگ پول هالتر
اسنچ تک دست,اسنچ تک دست
اسکات به همراه باز کردن سریع دست ها بالای سر,اسکات به همراه باز کردن سریع دست ها بالای سر
بلند شدن ترکیه ای,بلند شدن ترکیه ای
لانچ با دمبل معکوس پرس شانه تک دست,لانچ با دمبل معکوس پرس شانه تک دست
لانچ به طرفین همره پرس سرشانه,لانچ به طرفین همره پرس سرشانه
لانچ همراه جلو بازو چکشی و پرس شانه,لانچ همراه جلو بازو چکشی و پرس شانه
پرش دمبل با شراگ,پرش دمبل با شراگ
گام زدن به بالا همراه پرس سرشانه تک دست,گام زدن به بالا همراه پرس سرشانه تک دست
اسنچ تک دست دمبل زیر  زانو,اسنچ تک دست دمبل زیر  زانو
اسنچ کتری شکل,اسنچ کتری شکل
شراگ دست باز,شراگ دست باز
شراگ,شراگ
لیفت مرده پاصاف با دمبل به همراه پارویی,لیفت مرده پاصاف با دمبل به همراه پارویی
